episode_id,scenario_type,configuration,planner_seed,recovery_days,recovered,total_cost,service_cov,mean_service,air_expedites,air_expedite_noops,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
20,compound,planner_weekly_h14,mean,59.0,1.0,657783.59388209,0.5364210591349557,0.871091443924913,4.0,0.0,116.0,0.0,4.0,0.0,0.0,0.0
20,compound,planner_daily_h14,mean,30.0,1.0,1546662.8329763203,0.5254225496652389,0.9376435121613687,30.8,8.8,46.0,0.0,30.8,43.2,0.0,0.0
20,compound,planner_daily_no_expedite,mean,103.0,1.0,594579.0463860858,0.40230645799623826,0.8605449811022468,0.0,0.0,65.6,0.0,0.0,53.4,0.0,1.0
20,compound,planner_daily_expedite_7d,mean,83.0,1.0,766387.1090380676,0.5536622426998948,0.8247913194319209,4.0,0.0,63.8,0.0,4.0,51.4,0.0,0.8
20,compound,planner_daily_h28,mean,27.4,1.0,1522978.51116235,0.43420361334088453,0.9555278568068569,36.8,12.8,25.8,0.0,36.8,57.4,0.0,0.0
20,compound,planner_daily_h56,mean,28.0,1.0,1358159.8227267193,0.47756267573337857,0.948667845140489,39.0,15.0,81.0,0.0,39.0,0.0,0.0,0.0
20,compound,planner_daily_h14_k48,mean,30.0,1.0,1494743.2090654098,0.5254225496652389,0.9376435121613687,31.2,9.2,60.0,0.0,31.2,28.8,0.0,0.0
21,single,rl_only,,41.0,True,447417.362,0.173,0.9664,,,,,,,,
21,single,crl,,35.8,True,445389.14,0.1047,0.9787,,,,,,,,
21,single,planner_weekly_h14,mean,76.0,1.0,531925.9723634962,0.33141398375351844,0.9260850745047133,0.0,0.0,106.0,2.0,0.0,12.0,0.0,0.0
